,Ram,Storage,Brand,Color,Display_Size,Display_Type,Front_Cam,Rear_Cam,Price
1215,64 GB RO,64 GB ROM,apple,Gold,4.7,HD,2,8,"₹62,500"
1217,256 GB RO,256 GB ROM,apple,Gold,6.1,XDR,12,12,"₹1,29,900"
1218,128 GB RO,128 GB ROM,apple,Silver,5.5,HD,2,8,"₹48,999"
1227,256 GB RO,256 GB ROM,apple,Silver,6.7,XDR,12,12,"₹1,29,900"
1229,128 GB RO,128 GB ROM,apple,Silver,6.7,XDR,12,12,"₹95,599"
1230,256 GB RO,256 GB ROM,apple,Black,4.7,HD,7,12,"₹74,400"
1234,16 GB RO,16 GB ROM,apple,Grey,4.7,HD,5,12,"₹62,000"
1236,128 GB RO,128 GB ROM,apple,Blue,6.1,XDR,12,12,"₹78,899"
1237,128 GB RO,128 GB ROM,apple,Gold,5.5,HD,2,8,"₹80,500"
1243,512 GB RO,512 GB ROM,apple,Blue,6.7,XDR,12,12,"₹1,23,299"
1246,128 GB RO,128 GB ROM,apple,Blue,6.1,XDR,12,12,"₹57,999"
1302,8 GB RAM ,256 GB RO,oneplus,Blue,6.67,HD+,16,48,"₹45,999"
1339,8 GB RAM ,128 GB RO,oneplus,Green,6.78,HD+,16,48,"₹54,999"
1354,12 GB RAM ,256 GB RO,oneplus,Green,6.78,HD+,16,48,"₹59,990"
1358,6 GB RAM ,64 GB ROM,oneplus,Blue,6.44,HD+,32,48,"₹24,999"
1359,12 GB RAM ,256 GB RO,oneplus,Blue,6.44,HD+,32,48,"₹29,999"
1361,8 GB RAM ,128 GB RO,oneplus,Blue,6.44,HD+,32,48,"₹27,999"
1367,12 GB RAM ,256 GB RO,oneplus,Black,6.78,HD+,16,48,"₹49,990"
1368,8 GB RAM ,128 GB RO,oneplus,Black,6.78,HD+,16,48,"₹45,999"
1376,4 GB RAM ,64 GB ROM,redmi,Blue,6.7,HD+,5,50,"₹9,499"
1377,4 GB RAM ,64 GB ROM,redmi,Black,6.7,HD+,5,50,"₹9,499"
1378,4 GB RAM ,64 GB ROM,redmi,Black,6.7,HD+,5,50,"₹9,499"
1379,4 GB RAM ,64 GB ROM,redmi,Orange,6.7,HD+,5,50,"₹9,499"
1380,4 GB RAM ,64 GB ROM,redmi,Green,6.7,HD+,5,50,"₹9,499"
1381,8 GB RAM ,128 GB RO,vivo,Blue,6.7,AMOLED,50,50,"₹32,999"
1382,8 GB RAM ,128 GB RO,vivo,Black,6.7,AMOLED,50,50,"₹32,999"
1387,4 GB RAM ,64 GB ROM,vivo,Blue,6.58,HD+,8,50,"₹11,999"
1388,4 GB RAM ,64 GB ROM,vivo,Black,6.58,HD+,8,50,"₹11,999"
1389,4 GB RAM ,128 GB RO,vivo,Black,6.58,HD+,8,50,"₹12,999"
1391,6 GB RAM ,128 GB RO,vivo,Black,6.58,HD+,8,50,"₹14,999"
1392,4 GB RAM ,128 GB RO,vivo,Blue,6.58,HD+,8,50,"₹12,999"
1393,6 GB RAM ,128 GB RO,vivo,Blue,6.58,HD+,8,50,"₹14,999"
1394,3 GB RAM ,64 GB ROM,oppo,Blue,6.56,HD+,5,8,"₹9,499"
1395,3 GB RAM ,64 GB ROM,oppo,Gold,6.56,HD+,5,8,"₹9,499"
1396,6 GB RAM ,128 GB RO,redmi,Black,6.7,HD+,5,50,"₹11,999"
1401,4 GB RAM ,64 GB ROM,oppo,Orange,6.56,HD+,5,50,"₹12,499"
1402,4 GB RAM ,64 GB ROM,oppo,Black,6.56,HD+,5,50,"₹12,499"
1403,6 GB RAM ,128 GB RO,redmi,Purple,6.67,HD,16,50,"₹24,999"
1404,3 GB RAM ,64 GB ROM,oppo,Blue,6.56,HD+,5,8,"₹9,499"
1405,6 GB RAM ,128 GB RO,redmi,Green,6.7,HD+,5,50,"₹11,999"
1408,8 GB RAM ,256 GB RO,redmi,Blue,6.67,HD,16,50,"₹27,999"
1410,6 GB RAM ,128 GB RO,redmi,Blue,6.67,HD,16,50,"₹24,999"
1412,6 GB RAM ,128 GB RO,redmi,Black,6.67,HD,16,50,"₹24,999"
1413,8 GB RAM ,256 GB RO,redmi,Black,6.67,HD,16,50,"₹27,999"
1414,8 GB RAM ,256 GB RO,redmi,Blue,6.67,HD+,16,200,"₹29,999"
1415,8 GB RAM ,256 GB RO,redmi,Purple,6.67,HD,16,50,"₹27,999"
1416,6 GB RAM ,128 GB RO,redmi,Blue,6.7,HD+,5,50,"₹11,999"
1417,3 GB RAM ,32 GB ROM,vivo,Green,6.51,HD+,8,13,"₹9,499"
1418,12 GB RAM ,256 GB RO,redmi,Black,6.67,HD+,16,200,"₹32,999"
1419,3 GB RAM ,32 GB ROM,vivo,Grey,6.51,HD+,5,8,"₹8,999"
1420,6 GB RAM ,64 GB ROM,redmi,White,6.43,AMOLED,13,64,"₹12,999"
1421,6 GB RAM ,128 GB RO,oppo,Gold,6.43,HD+,16,48,"₹15,990"
1422,3 GB RAM ,32 GB ROM,vivo,Blue,6.51,HD+,5,8,"₹8,999"
1433,4 GB RAM ,64 GB ROM,oppo,Blue,6.56,HD+,5,50,"₹12,599"
1442,8 GB RAM ,128 GB RO,vivo,Black,6.58,HD+,16,50,"₹18,499"
1443,8 GB RAM ,128 GB RO,oppo,Black,6.7,HD+,32,108,"₹29,999"
1444,8 GB RAM ,128 GB RO,oppo,Gold,6.7,HD+,32,108,"₹29,999"
1445,8 GB RAM ,128 GB RO,vivo,Black,6.58,HD+,16,50,"₹18,990"
1446,8 GB RAM ,128 GB RO,vivo,Gold,6.58,HD+,16,50,"₹18,499"
1447,4 GB RAM ,64 GB ROM,vivo,Green,6.55,HD+,8,50,"₹14,499"
1448,4 GB RAM ,64 GB ROM,vivo,Blue,6.55,HD+,8,50,"₹14,499"
1449,4 GB RAM ,64 GB ROM,vivo,Black,6.51,HD+,5,13,"₹12,499"
1452,8 GB RAM ,128 GB RO,oppo,Orange,6.56,HD+,8,50,"₹17,999"
1454,6 GB RAM ,128 GB RO,vivo,Green,6.55,HD+,8,50,"₹16,499"
1456,6 GB RAM ,128 GB RO,oppo,Blue,6.43,HD+,16,48,"₹14,990"
1457,3 GB RAM ,64 GB ROM,vivo,Black,6.51,HD+,5,13,"₹10,999"
1458,3 GB RAM ,32 GB ROM,vivo,Black,6.51,HD+,5,13,"₹9,999"
1459,3 GB RAM ,64 GB ROM,vivo,Gold,6.51,HD+,5,13,"₹10,928"
1460,6 GB RAM ,128 GB RO,vivo,Blue,6.55,HD+,8,50,"₹16,499"
1466,6 GB RAM ,128 GB RO,oppo,Black,6.43,HD+,16,48,"₹14,990"
1467,8 GB RAM ,128 GB RO,vivo,Black,6.44,AMOLED,16,64,"₹24,999"
1468,4 GB RAM ,64 GB ROM,vivo,Gold,6.51,HD+,5,13,"₹12,499"
1470,8 GB RAM ,128 GB RO,oppo,Black,6.56,HD+,8,50,"₹17,999"
1471,4 GB RAM ,64 GB ROM,redmi,Green,6.53,HD+,5,13,"₹7,699"
1472,8 GB RAM ,128 GB RO,redmi,Black,6.43,AMOLED,13,64,"₹16,499"
1474,8 GB RAM ,128 GB RO,vivo,Black,6.58,HD+,16,50,"₹19,999"
1476,2 GB RAM ,32 GB ROM,redmi,Blue,6.52,HD+,5,8,"₹7,499"
1477,8 GB RAM ,128 GB RO,oppo,Black,6.43,HD,32,50,"₹29,999"
1478,8 GB RAM ,128 GB RO,oppo,Gold,6.43,HD,32,50,"₹29,999"
1479,6 GB RAM ,128 GB RO,redmi,Green,6.53,HD+,5,13,"₹11,499"
1490,3 GB RAM ,32 GB ROM,vivo,Blue,6.51,HD+,8,13,"₹9,499"
1492,12 GB RAM ,256 GB RO,vivo,Blue,6.43,AMOLED,50,50,"₹36,999"
1498,6 GB RAM ,128 GB RO,oppo,Black,6.43,HD+,16,48,"₹16,990"
1502,12 GB RAM ,256 GB RO,redmi,Blue,6.67,HD+,16,200,"₹32,999"
1503,8 GB RAM ,128 GB RO,vivo,Black,6.58,HD+,16,50,"₹17,990"
